sector,camera,ccd,cut,objid,eventid,xccd,yccd,snr_psf,psf_like,psf_stacked,frame_duration,variable,gaia_id,gaia_color,dx,dy
36,4,2,17,3,156,258,631,91.79647,0.9932555,1,21,1,5285717265079167360,0.717828,0.04154911,0.04292945
36,4,2,17,3,158,258,631,115.2689,0.9961286,1,20,1,5285717265079167360,0.717828,0.04276737,0.04297639
36,4,2,17,32,44,217,627,95.62388,0.9976092,1,15,1,5282708004834386816,0.8154205,-0.05636602,-0.01345924
36,4,2,17,32,47,217,627,94.3302,0.9975872,1,14,1,5282708004834386816,0.8154205,-0.06858496,-0.02345376
36,4,2,17,32,48,217,627,99.06695,0.9978667,1,14,1,5282708004834386816,0.8154205,-0.07539078,0.0004905786
36,4,2,17,32,61,217,627,14.24772,0.9928547,0,14,1,5282708004834386816,0.8154205,-0.07614447,-0.0231634
36,4,2,17,32,62,217,627,22.44157,0.9938088,1,14,1,5282708004834386816,0.8154205,-0.09574658,-0.04081074
36,4,2,17,32,66,217,627,61.54412,0.9961127,1,14,1,5282708004834386816,0.8154205,-0.04132053,-0.03078383
36,4,2,17,47,80,216,724,44.31269,0.9942274,1,25,1,5285681805829355776,0.566236,0.03713244,-0.05284604
36,4,2,17,380,2,115,721,8.408903,0.978716,1,9,0,5282603306412939648,2.879591,-0.08687391,0.08550989
36,4,2,17,894,1,265,631,7.525865,0.9050102,1,4,1,5285720490596775424,3.015218,-0.01338422,0.08601221
36,4,2,18,33,19,409,565,40.45339,0.998031,1,13,1,5292011247593188608,1.049981,-0.05612651,0.001910635
36,4,2,18,91,136,326,616,46.68151,0.9949773,1,15,1,5285793436321718144,2.299755,0.04433501,0.03079415
36,4,2,18,99,16,367,571,16.71514,0.9897448,1,8,0,5291805806421393280,1.078417,-0.06207563,0.07932888
36,4,2,18,129,5,521,769,38.83024,0.9721344,1,4,0,5286733213822497408,2.880627,-0.07363805,-0.08506168
36,4,2,18,375,5,400,693,19.97121,0.9976247,1,29,0,5285987813658570624,1.408152,-0.04182157,0.02838159
36,4,2,18,547,25,343,532,89.66865,0.9990686,0,10,0,5291755542420109312,1.735815,-0.01230052,0.06547989
36,4,2,18,585,1,444,761,4.990898,0.865898,0,3,0,5286051752835531648,2.06736,-0.1218409,-0.1072569
36,4,2,19,2,181,637,539,121.889,0.9978892,1,12,1,5292929614680333312,0.712406,-0.08140066,0.007468303
36,4,2,19,17,145,718,531,32.59125,0.9977481,1,12,1,5293144427466859392,0.7923,0.01320837,0.02169864
